A pool ball set includes how many balls?,16
"Other than water, what is the most consumed beverage?",Tea
The Munich beer festival is held in which month?,October
Who were known as the 'Fab Four'?,The Beatles
Which author wrote Jurassic Park?,Michael Crichton
Which famous singer's documentary was released in 2020 and is titled Miss Americana?,Taylor Swift
How many times has Kim Kardashian been married?,Three
Which young artist claimed five Grammys at the 2020 Grammy Awards?,Billie Eilish
"As of 2020, what is the highest-grossing video game franchise?",Mario
What U.S. state drinks the most alcohol per person?,Nevada
Who starred as Mr. Rogers in the film It's a Beautiful Day in the Neighborhood?,Tom Hanks
Who wore a dress made out of meat at the 2010 MTV Video Music Awards?,Lady Gaga
What year did Game of Thrones premiere on HBO?,2011
What year was Prince George born?,2013
Who was the first singer to ever appear on the cover of Rolling Stone Magazine?,John Lennon
In the human body what is the hallux?,Big toe
What year was McDonald's founded?,1940
What is the world's oldest and most widely consumed alcoholic drink?,Beer
Which body parts continue to grow throughout your lifetime?,Nose & Ears
What is the national animal of Canada?,Beaver
What did Lady Diana work as prior to getting married into the royal family?,A nanny
"In a bar, if you were to order a boilermaker, what would you get?",A shot of whiskey followed by a glass of beer
Between which years was the alcohol Absinthe banned in the United States?,1912-2007
What is the only vowel on a standard computer keyboard that is not in the top line of letters?,A'
How many stars are on the European Union flag?,12
What is the official national anthem of the United States of America?,The Star Spangled Banner
Which famous company launched their streaming service in 2019?,Disney+
Which Disney channel show starred Hilary Duff and her character's inner cartoon?,Lizzie McGuire
Who is Marshall Bruce Mathers III better known as?,"Rapper, Eminem"
"On average, how many grapes does it take to make a bottle of wine?",400
What letter represents potassium in chemistry and a strikeout in baseball?,K
Which film was the first non-English language film to win an Oscar for Best Picture?,Parasite
What is the most commonly transplanted organ from living donors?,Kidney
Which common breakfast item beat out Kylie Jenner for most-liked photo on Instagram with nearly 54 million likes in just 10 days?,An egg
Alcohol' is a word derived from which language?,Arabic
In Greek mythology who is the god of wine?,Bacchus
Which famous musical was transformed into a major motion picture in 2019?,Cats
Who is the youngest person in history to be named TIME's Person of the Year?,Greta Thunberg
In the 40's and 50's what was tested at 'Bikini Atoll'?,The hydrogen bomb
Which R-rated movie was the first to surpass $1 billion at the global box office?,Joker
Which brand of gin is named after the guards at the Tower of London?,Beefeater
"Which year was the last for video store chain, Blockbuster?",2014
What is the term for having a small amount of alcohol the morning after having a lot of it?,The hair of the dog'
What are the titles of each of the Fifty Shades books/films?,"Fifty Shades of Grey, Fifty Shades Darker, & Fifty Shades Freed"
How many keys are on a standard piano?,88
What is Chandler's last name in the TV show Friends?,Bing
In which US state is Temple University?,Pennsylvania
What is the national fruit of the United States?,Oranges
How many siblings did John F. Kennedy have?,Eight
Where is the world's largest football (soccer) stadium?,"Rio de Janeiro, Brazil with the Maracana"
Where did karaoke originate?,Japan
"Mark Chapman, who murdered John Lennon, read what book while waiting to be arrested?",The Catcher in the Rye
What are the names of all four books in the Twilight Series?,"Twilight, New Moon, Eclipse, Breaking Dawn"
Who wrote and recorded the Big Bang Theory's theme song?,Barenaked Ladies
Who is the richest Kardashian/Jenner sister?,Kylie
What was the most bombed place in WWII?,Malta
What is the record for red cards given in a single football (soccer) game?,36
What famous boxer stated that he should be a postage stamp because that's the only way he would ever get licked?,Muhammad Ali
What is the roman numeral for 500?,D
What is the technical name for the hashtag symbol?,An octothorpe
What is the name of the world's longest river?,The Amazon River
What is it called when a bottle of champagne is opened with a sword?,Sabering
What does M&M stand for?,Mars & Murrie
Which sport has been played on the moon?,Golf
What is a baby goat called?,A kid
What is triskaidekaphobia the fear of?,Fear of the number 13
Which country has the longest coastline?,Canada
Which country has the largest population in South America?,Brazil
What is the most widely spoken language in the world?,Mandarin
What does HTTP stand for?,HyperText Transfer Protocol
In which year was Uber founded?,2009
Which natural disaster is measured with a Richter scale?,Earthquakes
What food is the leading source of salmonella poisoning?,Chicken
Which auto brand was the first to offer seat belts?,Nash Motors
What is the rarest M&M colour?,Brown
"In a website browser address bar, what does 'www' stand for?",World Wide Web
In what year were the first Air Jordan shoes released?,1984
"In a game of bingo, which number is represented by the phrase 'two little ducks'?",22
According to Greek mythology who was the first woman on earth?,Pandora
Which African country was formerly known as Abyssinia?,Ethiopia 
Tennis star Serena Williams won which major tournament while pregnant with her first child?,The Australian Open
In which European city would you find Orly airport?,Paris
Which singer's real name is Stefani Joanne Angelina Germanotta?,Lady Gaga
"Kingston, Zuma, and Apollo are the sons of which American female pop star?",Gwen Stefani
"Fissures, vents and plugs are all associated with which geological feature?",Volcanos
Which author wrote the 'Winnie-the-Pooh' books?,A. A. Milne
Which Dutch artist painted 'Girl with a Pearl Earring'?,Vermeer
"Where were the Declaration of Independence, the Constitution, and the Bill of Rights stored during World War II?",Fort Knox
Which country consumes the most chocolate per capita?,Switzerland
Which two U.S. states don't observe Daylight Saving Time?,Arizona and Hawaii
What is the loudest animal on Earth?,The sperm whale
What was the first toy to be advertised on television?,Mr. Potato Head
What is the tiny piece at the end of a shoelace called?,An aglet
"In the United Kingdom, what is the day after Christmas known as?",Boxing Day
Which of Shakespeare's plays is the longest?,Hamlet
Outside which New York building was John Lennon killed?,The Dakota Building
How many of Snow White's seven dwarfs have names ending in the letter Y?,"Five: Dopey, Grumpy, Sneezy, Sleepy, Happy"
What is the tallest breed of dog in the world?,The Great Dane
Who was the first female Prime Minister of Great Britain?,Margaret Thatcher
How many ribs are in a human body?,Twenty-four
What is the world's largest island?,Greenland
Which country is known as the Land of White Elephant?,Thailand
What is the smallest ocean in the world?,The Arctic
What colour eyes do most humans have?,Brown
In which city was Anne Frank's hiding place?,Amsterdam
What is the largest type of deer?,The moose
Which Disney film features the song 'When You Wish Upon a Star'?,Pinocchio
What is the lowest army rank of a US soldier?,Private
"Before the Beatles were formed, John Lennon, Paul McCartney and George Harrison were originally members of which group?",The Quarrymen
What is the name of the Earth's largest ocean?,The Pacific Ocean
Which planet is the hottest in the solar system?,Venus
Which country produces the most coffee in the world?,Brazil
What is the common name for dried plums?,Prunes
What does BMW stand for (in English)?,Bavarian Motor Works
Which two countries share the longest international border?,Canada and the USA
What is the smallest country in the world?,Vatican City
Which bone are babies born without?,Knee cap
Which name is rapper Sean Combs better known by?,P. Diddy
Which British girl group had a member by the name of Mel B?,Spice Girls
How many hearts does an octopus have?,Three
How many eyes does a bee have?,Five
What was the name of the rock band formed by Jimmy Page?,Led Zeppelin
Who was the first woman to win a Nobel Prize (1903)?,Marie Curie
Which mammal has no vocal cords?,Giraffe
What type of music has been shown to help plants grow better and faster?,Classical
Power outages in the US are mostly caused by what?,Squirrels 
What was the first state in America?,Delaware 
What is the painting 'La Gioconda' more famously known as?,Mona Lisa
Ludwig Van Beethoven was born in 1770 in which city?,Berlin
Water has a pH level of around?,7
What's the most expensive home in the world?,Buckingham Palace
What did the Crocodile swallow in Peter Pan?,An alarm clock
What's the hardest rock?,A diamond
What is the national dish of Spain?,Paella
Which horoscope sign has a crab?,Cancer
What colour is Absinthe?,Green
The Statue of Liberty was given to the US by which country?,France
What substance are nails made out of?,Keratin
How many children does Oprah Winfrey have?,Zero
Where is the Sea of Tranquility located?,The moon
What country has the world's most ancient forest?,Australia
Which chess piece can only move diagonally?,A bishop
When did the Cold War end?,1989
What is allspice alternatively known as?,Pimento
Who invented scissors?,Leonardo da Vinci
Which country was the Caesar salad invented in?,Mexico
"On which ship did Charles Darwin make his famous expedition, which led to his theory of evolution?",HMS Beagle
In which film did father and son actors Will and Jaden Smith first appear together?,The Pursuit of Happiness
What is the most common letter in the English alphabet?,E
A tick bite can make you allergic to what food?,Red meat
What animal is constitutionally protected in Florida?,Pigs
What planets literally rain diamonds?,Saturn and Jupiter
Saudi Arabia imports camels from what country?,Australia
What is the only state that borders just one other state?,Maine
What is the Twitter bird's official name?,Larry
What is a community of ants called?,A colony
Where did Heineken beer originate?,The Netherlands
'Cirque du Soleil'started in what country?,Canada
How many signs are there in the Zodiac?,12
What object is said to bring bad luck if it is broken?,A mirror
Which country did bagels originate from?,Poland
What is the name for the group of men who elect a Pope?,College of Cardinals
An Apgar score is given to what?,Health of newborns
"The Candlestick, Lead Pipe, Knife, Revolver, Rope, and what else are the six weapons in a standard game of Cluedo?",Wrench
In which city did Starbucks open its first store in 1971?,Seattle
What is the first element on the Periodic Table?,Hydrogen
What object did Ben Franklin attach to the end of a kite string to prove that lightning is electricity?,A metal key
What does a Scoville unit measure?,Spiciness
What US president put a Twinkie in the country's millennium time capsule?,Bill Clinton
What is an ice hockey puck made from?,Rubber
Apple's CEO Steve Jobs was known for wearing what colour turtleneck?,Black
How many red stripes are there on the American flag?,7
What 3 word phrase is written on Martin Luther King's gravestone?,Free At Last
What American beer has been long promoted as the 'King of Beers'?,Budweiser
Which fashion designer was shot dead in the summer of 1997?,Gianni Versace
As what type of beans are chickpeas also known as?,Garbanzo
Galileo was the citizen of which country?,Italy
Which country is the largest producer of vanilla?,Madagascar
Who plays the character of Mark Zuckerberg in the movie 'The Social Network'?,Jesse Eisenberg
What is the only fruit that has its seeds on the outside?,Strawberry
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,Mercury
Who was the only US President to resign?,Richard Nixon
In which city did Hitler commit suicide?,Berlin
"In ancient Greece, throwing an apple at someone was a declaration of what?",Love
Who wrote songs for The Lion King?,Elton John
What U.S. newspaper is nicknamed 'the Gray Lady'?,The New York Times
What is the real first name of Marilyn Monroe?,Norma Jeane
What country has the most vending machines per capita?,Japan
What's the most populous city in the United States?,New York City
Which fruit floats because 25% of its volume is air?,Apple
In which of Britney's video does she appear as a stewardess?,Toxic
Carrots are a good source of which vitamin?,Vitamin A
What is the name of the prehistoric town in which The Flinstones live?,Bedrock
What is the driest continent?,Antartica
What is the most abundant metal in the Earth's crust?,Aluminium
What is the most abundant element in the universe?,Hydrogen
Robin Williams won a best supporting actor Oscar for what film?,Good Will Hunting
What was the first Disney animated film based on the life of a real person?,Pocahontas
Which character did Michael J. Fox play in 'Back to the Future'?,Marty McFly
What was the predecessor to the United Nations?,League of Nations
A flamboyance is a group of what animals?,Flamingos
What colour is a polar bear's skin?,Black
What is the world's largest lizard?,Komodo dragon
Canberra is the capital city of which country?,Australia
New York City comprises how many boroughs?,5
Which nuts are used to make marzipan?,Almonds
Botany is the scientific study of what?,Plants
Tanks were used in battle for the first time in which conflict?,World War 1
Squab is a name given to the young of which bird?,Pigeon
Which female singer discovered a 'Genie in a Bottle' in 1999?,Christina Aguilera
In what country did carving jack o' lanterns originate?,Ireland
In what American state is it illegal to dress up like a priest or a nun?,Alabama
What is the largest planet in our solar system?,Jupiter
What has a gravitational pull so strong that even light cannot escape it?,Black Hole
Which 1998 Disney film was Lindsay Lohan's film debut?,Parent Trap
What type of business did Annie have that failed in 'Bridesmaids'?,Bakery
What were the two sides in World War II known as?,Allies and Axis
What number did Derek Jeter wear on his New York Yankees jersey?,2
What vitamin does the sun's ultraviolet rays help the skin produce?,Vitamin D
What TV show won the most Emmys in 2018?,The Marvelous Mrs. Maisel
Nepal is located on which continent?,Asia
What does a seismologist study?,Earthquakes
Which sea is located in Israel and Jordan?,Dead Sea
What are the bones in the fingers called?,Phalanges
What company makes the Butterfinger bar?,Nestle
Which character becomes Brienne's squire in season 4 of 'Game of Thrones'?,Podrick Payne
What is the biggest artery in the human body?,Aorta
What is Harry Potter's Patronus?,A stag
What candy was used to lure E.T. in the 1982 movie 'E.T.: The Extra-Terrestrial'?,Reese's Pieces
The tuba is the largest member of which musical family?,Brass
Which is the main substance used to make a crayon?,Wax
The video game 'Happy Feet' features what animals?,Penguins
What actress won her first Oscar for 'Kramer vs. Kramer'?,Meryl Streep
What object of Dwight's did Jim put in Jell-O on the TV show 'The Office'?,Stapler
Who voices Morty in the series 'Rick and Morty'?,Justin Rolland
'You're gonna need a bigger boat' originated in what movie?,Jaws
What does the 'R' stand for on the rating of a movie?,Restricted
Who played Cher Horowitz in the movie 'Clueless'?,Alicia Silverstone
What country produced the most strawberries in 2016?,China
The traditional Wimbledon colours are green and what?,Purple
"On the television show 'How I Met Your Mother', what is Lily's occupation?",Kindergarten Teacher
Which art movement is Salvador Dali associated with?,Surrealism
Where did rap superstar Eminem grow up?,Detroit
In what city did Princess Diana suffer her fatal car crash?,Paris
What grows from an acorn?,Oak Tree
What prison film starring Tim Robbins was based on a story by Stephen King?,The Shawshank Redemption
Which U.S. state has 'Garden State' as its nickname?,New Jersey
What was Toyota's first popular hybrid car called?,Prius
What did the first vending machine dispense?,Holy Water
Who created the animated series 'Futurama'?,Matt Groening
What is the most populous city in Canada?,Toronto
Taylor Swift grew up on what type of farm?,Christmas Tree Farm
Which 2008 comedy had the tagline 'Put this in your pipe and smoke it'?,Pineapple Express
Islamabad is the capital of which country?,Pakistan
"American pioneer, John Chapman, was famous for planting which kind of tree?",Apple Trees
Which country has a red flag with a star in the middle?,Morocco
What colour dresses do Chinese women traditionally wear on their wedding day?,Red
"What country is bordered by Germany, the Czech Republic, Slovakia and the Ukraine?",Poland
The Da Vinci Code opens with a murder in which famous museum?,Lourve
Which insect can indicate the air temperature?,Cricket
What country is the band 'The Cranberries' from?,Ireland
Blueberries are native to which continent?,North America
Rihanna banned fans from bringing what items to her U.K. concerts in 2008?,Umbrellas
Who created the alien rock superstar Ziggy Stardust?,David Bowie
On every continent there is a city named what?,Rome